PeXrefScanner report for C:\servers\scum\SCUM\Binaries\Win64\SCUMServer.exe
ImageBase=0x140000000
Searched strings:
  [UTF-16] "Player must be developer" @ VA 0x1459550e0
  [UTF-16] "Not authorized to execute command" @ VA 0x145955180
  [UTF-16] "Command is on cooldown. Try again later." @ VA 0x145955120
  [UTF-16] "Command is disabled in shipping build" @ VA 0x145955090

=== XREF: [FUNC] call/ref to 0x0x142685AE0 at VA 0x140711e4e (file offset 0x71144e) ===
  0x140711cbe  mov [rsp+0x30], eax
  0x140711d69  ret
  0x140711d6a  int3
  0x140711d6b  int3
  0x140711d6c  int3
  0x140711d6d  int3
  0x140711d6e  int3
  0x140711d6f  int3
  0x140711d70  sub rsp, 0x48
  0x140711d74  xor eax, eax
  0x140711d76  lea r9, [0x0000000145982368]
  0x140711d7d  mov [rsp+0x30], rax
  0x140711d82  lea r8, [0x0000000145CE2AA0]
  0x140711d89  mov [rsp+0x28], rax
  0x140711d8e  lea rdx, [0x0000000142686590]
  0x140711d95  lea rcx, [0x00000001426885B0]
  0x140711d9c  mov [rsp+0x20], al
  0x140711da0  call 0x0000000142D14700
  0x140711da5  add rsp, 0x48
  0x140711da9  ret
  0x140711daa  int3
  0x140711dab  int3
  0x140711dac  int3
  0x140711dad  int3
  0x140711dae  int3
  0x140711daf  int3
  0x140711db0  sub rsp, 0x48
  0x140711db4  xor eax, eax
  0x140711db6  lea r9, [0x0000000145982368]
  0x140711dbd  mov [rsp+0x30], rax
  0x140711dc2  lea r8, [0x0000000145CE2CE0]
  0x140711dc9  mov [rsp+0x28], rax
  0x140711dce  lea rdx, [0x0000000142686730]
  0x140711dd5  lea rcx, [0x00000001426885E0]
  0x140711ddc  mov [rsp+0x20], al
  0x140711de0  call 0x0000000142D14700
  0x140711de5  add rsp, 0x48
  0x140711de9  ret
  0x140711dea  int3
  0x140711deb  int3
  0x140711dec  int3
  0x140711ded  int3
  0x140711dee  int3
  0x140711def  int3
  0x140711df0  sub rsp, 0x48
  0x140711df4  xor eax, eax
  0x140711df6  lea r9, [0x0000000145982368]
  0x140711dfd  mov [rsp+0x30], rax
  0x140711e02  lea r8, [0x0000000145CDF5C0]
  0x140711e09  mov [rsp+0x28], rax
  0x140711e0e  lea rdx, [0x0000000142684CE0]
  0x140711e15  lea rcx, [0x0000000142688610]
  0x140711e1c  mov [rsp+0x20], al
  0x140711e20  call 0x0000000142D14700
  0x140711e25  add rsp, 0x48
  0x140711e29  ret
  0x140711e2a  int3
  0x140711e2b  int3
  0x140711e2c  int3
  0x140711e2d  int3
  0x140711e2e  int3
  0x140711e2f  int3
  0x140711e30  sub rsp, 0x48
  0x140711e34  xor eax, eax
  0x140711e36  lea r9, [0x0000000145982368]
  0x140711e3d  mov [rsp+0x30], rax
  0x140711e42  lea r8, [0x0000000145CDF790]
  0x140711e49  mov [rsp+0x28], rax
  0x140711e4e  lea rdx, [0x0000000142685AE0] <== XREF HERE
  0x140711e55  lea rcx, [0x0000000142688640]
  0x140711e5c  mov [rsp+0x20], al
  0x140711e60  call 0x0000000142D14700
  0x140711e65  add rsp, 0x48
  0x140711e69  ret
  0x140711e6a  int3
  0x140711e6b  int3
  0x140711e6c  int3
  0x140711e6d  int3
  0x140711e6e  int3
  0x140711e6f  int3
  0x140711e70  sub rsp, 0x48
  0x140711e74  xor eax, eax
  0x140711e76  lea r9, [0x0000000145982368]
  0x140711e7d  mov [rsp+0x30], rax
  0x140711e82  lea r8, [0x0000000145CDFE90]
  0x140711e89  mov [rsp+0x28], rax
  0x140711e8e  lea rdx, [0x0000000142683900]
  0x140711e95  lea rcx, [0x0000000142688670]
  0x140711e9c  mov [rsp+0x20], al
  0x140711ea0  call 0x0000000142D14700
  0x140711ea5  add rsp, 0x48
  0x140711ea9  ret
  0x140711eaa  int3
  0x140711eab  int3
  0x140711eac  int3
  0x140711ead  int3
  0x140711eae  int3
  0x140711eaf  int3
  0x140711eb0  sub rsp, 0x48
  0x140711eb4  xor eax, eax
  0x140711eb6  lea r9, [0x0000000145982368]
  0x140711ebd  mov [rsp+0x30], rax
  0x140711ec2  lea r8, [0x0000000145CE0400]
  0x140711ec9  mov [rsp+0x28], rax
  0x140711ece  lea rdx, [0x00000001426842C0]
  0x140711ed5  lea rcx, [0x00000001426886A0]
  0x140711edc  mov [rsp+0x20], al
  0x140711ee0  call 0x0000000142D14700
  0x140711ee5  add rsp, 0x48
  0x140711ee9  ret
  0x140711eea  int3
  0x140711eeb  int3
  0x140711eec  int3
  0x140711eed  int3
  0x140711eee  int3
  0x140711eef  int3
  0x140711ef0  sub rsp, 0x48
  0x140711ef4  xor eax, eax
  0x140711ef6  lea r9, [0x0000000145982368]
  0x140711efd  mov [rsp+0x30], rax
  0x140711f02  lea r8, [0x0000000145CE0588]
  0x140711f09  mov [rsp+0x28], rax
  0x140711f0e  lea rdx, [0x0000000142684460]
  0x140711f15  lea rcx, [0x00000001426886D0]
  0x140711f1c  mov [rsp+0x20], al
  0x140711f20  call 0x0000000142D14700
  0x140711f25  add rsp, 0x48
  0x140711f29  ret
  0x140711f2a  int3
  0x140711f2b  int3
  0x140711f2c  int3
  0x140711f2d  int3
  0x140711f2e  int3
  0x140711f2f  int3
  0x140711f30  sub rsp, 0x48
  0x140711f34  xor eax, eax
  0x140711f36  lea r9, [0x0000000145982368]
  0x140711f3d  mov [rsp+0x30], rax
  0x140711f42  lea r8, [0x0000000145CE0800]
  0x140711f49  mov [rsp+0x28], rax
  0x140711f4e  lea rdx, [0x00000001426845B0]
  0x140711f55  lea rcx, [0x0000000142688700]
  0x140711f5c  mov [rsp+0x20], al
  0x140711f60  call 0x0000000142D14700
  0x140711f65  add rsp, 0x48
  0x140711f69  ret
  0x140711f6a  int3
  0x140711f6b  int3
  0x140711f6c  int3
  0x140711f6d  int3
  0x140711f6e  int3
  0x140711f6f  int3
  0x140711f70  sub rsp, 0x48
  0x140711f74  xor eax, eax
  0x140711f76  lea r9, [0x0000000145982368]
  0x140711f7d  mov [rsp+0x30], rax
  0x140711f82  lea r8, [0x0000000145CE09A0]
  0x140711f89  mov [rsp+0x28], rax
  0x140711f8e  lea rdx, [0x0000000142684740]
  0x140711f95  lea rcx, [0x0000000142688730]
  0x140711f9c  mov [rsp+0x20], al
  0x140711fa0  call 0x0000000142D14700
  0x140711fa5  add rsp, 0x48
  0x140711fa9  ret
  0x140711faa  int3
  0x140711fab  int3
  0x140711fac  int3
  0x140711fad  int3
  0x140711fae  int3
  0x140711faf  int3
  0x140711fb0  sub rsp, 0x48
  0x140711fb4  xor eax, eax
  0x140711fb6  lea r9, [0x0000000145982368]
  0x140711fbd  mov [rsp+0x30], rax
  0x140711fc2  lea r8, [0x0000000145CE0BA8]
  0x140711fc9  mov [rsp+0x28], rax
  0x140711fce  lea rdx, [0x00000001426848E0]
  0x140711fd5  lea rcx, [0x0000000142688760]
  0x140711fdc  mov [rsp+0x20], al
  0x140711fe0  call 0x0000000142D14700
  0x140711fe5  add rsp, 0x48
  0x140711fe9  ret
  0x140711fea  int3
  0x140711feb  int3
  0x140711fec  int3
  0x140711fed  int3
  0x140711fee  int3
  0x140711fef  int3
  0x140711ff0  sub rsp, 0x48
  0x140711ff4  xor eax, eax
  0x140711ff6  lea r9, [0x0000000145982368]
  0x140711ffd  mov [rsp+0x30], rax
  0x140712002  lea r8, [0x0000000145CE0D40]
  0x140712009  mov [rsp+0x28], rax
  0x14071200e  lea rdx, [0x0000000142684A80]
  0x140712015  lea rcx, [0x0000000142688790]
  0x14071201c  mov [rsp+0x20], al
  0x140712020  call 0x0000000142D14700
  0x140712025  add rsp, 0x48
  0x140712029  ret
  0x14071202a  int3
  0x14071202b  int3
  0x14071202c  int3
  0x14071202d  int3
  0x14071202e  int3
  0x14071202f  int3
  0x140712030  sub rsp, 0x48
  0x140712034  xor eax, eax
  0x140712036  lea r9, [0x0000000145982368]
  0x14071203d  mov [rsp+0x30], rax
  0x140712042  lea r8, [0x0000000145CE1028]
  0x140712049  mov [rsp+0x28], rax
  0x14071204e  lea rdx, [0x0000000142684C20]
  0x140712055  lea rcx, [0x00000001426887C0]
  0x14071205c  mov [rsp+0x20], al
  0x140712060  call 0x0000000142D14700
  0x140712065  add rsp, 0x48
  0x140712069  ret
  0x14071206a  int3
  0x14071206b  int3
  0x14071206c  int3
  0x14071206d  int3
  0x14071206e  int3
  0x14071206f  int3
  0x140712070  sub rsp, 0x48
  0x140712074  xor eax, eax
  0x140712076  lea r9, [0x0000000145982368]
  0x14071207d  mov [rsp+0x30], rax
  0x140712082  lea r8, [0x0000000145CE11C0]
  0x140712089  mov [rsp+0x28], rax
  0x14071208e  lea rdx, [0x0000000142684DC0]
  0x140712095  lea rcx, [0x00000001426887F0]
  0x14071209c  mov [rsp+0x20], al
  0x1407120a0  call 0x0000000142D14700
  <decode failed at file offset 0x7116a5>

=== XREF: [UTF-16] "Command is on cooldown. Try again later." at VA 0x1418c7c75 (file offset 0x18c7275) ===
  0x1418c7ae5  xor [rax-0x75], cl
  0x1418c7ae8  pop rsp
  0x1418c7ae9  and al, 0x38
  0x1418c7aeb  add rsp, 0x20
  0x1418c7aef  pop rsi
  0x1418c7af0  ret
  0x1418c7af1  int3
  0x1418c7af2  int3
  0x1418c7af3  int3
  0x1418c7af4  int3
  0x1418c7af5  int3
  0x1418c7af6  int3
  0x1418c7af7  int3
  0x1418c7af8  int3
  0x1418c7af9  int3
  0x1418c7afa  int3
  0x1418c7afb  int3
  0x1418c7afc  int3
  0x1418c7afd  int3
  0x1418c7afe  int3
  0x1418c7aff  int3
  0x1418c7b00  mov [rsp+0x08], rbx
  0x1418c7b05  mov [rsp+0x10], rsi
  0x1418c7b0a  push rdi
  0x1418c7b0b  sub rsp, 0x20
  0x1418c7b0f  mov rbx, [rcx]
  0x1418c7b12  mov rsi, rdx
  0x1418c7b15  movsxd rdi, dword ptr [rbx+0x08]
  0x1418c7b19  lea eax, [rdi+0x01]
  0x1418c7b1c  mov [rbx+0x08], eax
  0x1418c7b1f  cmp eax, [rbx+0x0C]
  0x1418c7b22  jle 0x00000001418C7B2E
  0x1418c7b24  mov edx, edi
  0x1418c7b26  mov rcx, rbx
  0x1418c7b29  call 0x0000000140918DA0
  0x1418c7b2e  mov rax, [rsi]
  0x1418c7b31  mov rcx, rdi
  0x1418c7b34  shl rcx, 0x04
  0x1418c7b38  add rcx, [rbx]
  0x1418c7b3b  mov [rcx], rax
  0x1418c7b3e  mov rax, [rsi+0x08]
  0x1418c7b42  mov [rcx+0x08], rax
  0x1418c7b46  test rax, rax
  0x1418c7b49  jz 0x00000001418C7B4E
  0x1418c7b4b  inc [rax+0x08]
  0x1418c7b4e  mov rbx, [rsp+0x30]
  0x1418c7b53  mov al, 0x01
  0x1418c7b55  mov rsi, [rsp+0x38]
  0x1418c7b5a  add rsp, 0x20
  0x1418c7b5e  pop rdi
  0x1418c7b5f  ret
  0x1418c7b60  push rbx
  0x1418c7b62  push rbp
  0x1418c7b63  push rsi
  0x1418c7b64  push rdi
  0x1418c7b65  push r15
  0x1418c7b67  sub rsp, 0x40
  0x1418c7b6b  mov rax, [0x00000001473D54D8]
  0x1418c7b72  xor rax, rsp
  0x1418c7b75  mov [rsp+0x28], rax
  0x1418c7b7a  mov rdi, r8
  0x1418c7b7d  mov r15, rdx
  0x1418c7b80  mov rsi, rcx
  0x1418c7b83  test rdx, rdx
  0x1418c7b86  jz 0x00000001418C7CF7
  0x1418c7b8c  mov rax, [rdx]
  0x1418c7b8f  mov rcx, rdx
  0x1418c7b92  call [rax+0x160]
  0x1418c7b98  mov rbp, [rax+0x118]
  0x1418c7b9f  test rbp, rbp
  0x1418c7ba2  jz 0x00000001418C7CF7
  0x1418c7ba8  call 0x00000001426F00C0
  0x1418c7bad  mov rdx, [rbp+0x10]
  0x1418c7bb1  lea r8, [rax+0x30]
  0x1418c7bb5  movsxd rax, dword ptr [rax+0x38]
  0x1418c7bb9  cmp eax, [rdx+0x38]
  0x1418c7bbc  jnle 0x00000001418C7CF7
  0x1418c7bc2  mov rcx, rax
  0x1418c7bc5  mov rax, [rdx+0x30]
  0x1418c7bc9  cmp [rax+rcx*8], r8
  0x1418c7bcd  jnz 0x00000001418C7CF7
  0x1418c7bd3  mov rax, [rsi]
  0x1418c7bd6  mov r8, rdi
  0x1418c7bd9  mov rdx, r15
  0x1418c7bdc  mov rcx, rsi
  0x1418c7bdf  call [rax+0x278]
  0x1418c7be5  test al, al
  0x1418c7be7  jz 0x00000001418C7CF7
  0x1418c7bed  movss xmm0, dword ptr [rsi+0x58]
  0x1418c7bf2  lea rbx, [rsp+0x20]
  0x1418c7bf7  movss [rsp+0x20], xmm0
  0x1418c7bfd  mov byte ptr [rsp+0x24], 0x01
  0x1418c7c02  cmp byte ptr [rbx+0x04], 0x00
  0x1418c7c06  jz 0x00000001418C7D11
  0x1418c7c0c  mov [rsp+0x88], r14
  0x1418c7c14  mov r14, [rsi+0x10]
  0x1418c7c18  mov rax, [r14+0x118]
  0x1418c7c1f  test rax, rax
  0x1418c7c22  jnz 0x00000001418C7C37
  0x1418c7c24  mov rax, [r14]
  0x1418c7c27  mov rcx, r14
  0x1418c7c2a  call [rax+0x3A0]
  0x1418c7c30  mov rax, [r14+0x118]
  0x1418c7c37  cmp byte ptr [rax+0x80], 0x00
  0x1418c7c3e  mov r14, [rsp+0x88]
  0x1418c7c46  jz 0x00000001418C7D11
  0x1418c7c4c  movaps [rsp+0x30], xmm6
  0x1418c7c51  movsd xmm6, qword ptr [rax+0x78]
  0x1418c7c56  call 0x00000001418E8780
  0x1418c7c5b  movss xmm1, dword ptr [rbx]
  0x1418c7c5f  subsd xmm0, xmm6
  0x1418c7c63  movaps xmm6, [rsp+0x30]
  0x1418c7c68  cvtps2pd xmm1, xmm1
  0x1418c7c6b  comisd xmm0, xmm1
  0x1418c7c6f  jnb 0x00000001418C7D11
  0x1418c7c75  lea rax, [0x0000000145955120] <== XREF HERE
  0x1418c7c7c  cmp [rdi], rax
  0x1418c7c7f  jz 0x00000001418C7CF7
  0x1418c7c81  mov ecx, [rdi+0x0C]
  0x1418c7c84  xor edx, edx
  0x1418c7c86  mov [rdi+0x08], edx
  0x1418c7c89  cmp ecx, 0x29
  0x1418c7c8c  jz 0x00000001418C7CA1
  0x1418c7c8e  mov edx, 0x29
  0x1418c7c93  mov rcx, rdi
  0x1418c7c96  call 0x0000000140919310
  0x1418c7c9b  mov edx, [rdi+0x08]
  0x1418c7c9e  mov ecx, [rdi+0x0C]
  0x1418c7ca1  lea eax, [rdx+0x29]
  0x1418c7ca4  mov [rdi+0x08], eax
  0x1418c7ca7  cmp eax, ecx
  0x1418c7ca9  jle 0x00000001418C7CB3
  0x1418c7cab  mov rcx, rdi
  0x1418c7cae  call 0x0000000140918E20
  0x1418c7cb3  movaps xmm0, [0x0000000145955120]
  0x1418c7cba  mov rcx, [rdi]
  0x1418c7cbd  movups [rcx], xmm0
  0x1418c7cc0  movaps xmm1, [0x0000000145955130]
  0x1418c7cc7  movups [rcx+0x10], xmm1
  0x1418c7ccb  movaps xmm0, [0x0000000145955140]
  0x1418c7cd2  movups [rcx+0x20], xmm0
  0x1418c7cd6  movaps xmm1, [0x0000000145955150]
  0x1418c7cdd  movups [rcx+0x30], xmm1
  0x1418c7ce1  movaps xmm0, [0x0000000145955160]
  0x1418c7ce8  movups [rcx+0x40], xmm0
  0x1418c7cec  movzx eax, word ptr [0x0000000145955170]
  0x1418c7cf3  mov [rcx+0x50], ax
  0x1418c7cf7  xor al, al
  0x1418c7cf9  mov rcx, [rsp+0x28]
  0x1418c7cfe  xor rcx, rsp
  0x1418c7d01  call 0x0000000145084860
  0x1418c7d06  add rsp, 0x40
  0x1418c7d0a  pop r15
  0x1418c7d0c  pop rdi
  0x1418c7d0d  pop rsi
  0x1418c7d0e  pop rbp
  0x1418c7d0f  pop rbx
  0x1418c7d10  ret
  0x1418c7d11  mov rcx, r15
  0x1418c7d14  call 0x0000000141A4D050
  0x1418c7d19  movzx r8d, byte ptr [rsi+0x52]
  0x1418c7d1e  lea r9, [rsi+0x28]
  0x1418c7d22  mov rdx, rax
  0x1418c7d25  mov rcx, rbp
  0x1418c7d28  call 0x0000000141A45AA0
  0x1418c7d2d  test al, al
  0x1418c7d2f  jnz 0x00000001418C7DBA
  0x1418c7d35  lea rax, [0x0000000145955180]
  0x1418c7d3c  cmp [rdi], rax
  0x1418c7d3f  jz 0x00000001418C7CF7
  0x1418c7d41  mov ecx, [rdi+0x0C]
  0x1418c7d44  xor edx, edx
  0x1418c7d46  mov [rdi+0x08], edx
  0x1418c7d49  cmp ecx, 0x23
  0x1418c7d4c  jz 0x00000001418C7D61
  0x1418c7d4e  mov edx, 0x23
  0x1418c7d53  mov rcx, rdi
  0x1418c7d56  call 0x0000000140919310
  0x1418c7d5b  mov edx, [rdi+0x08]
  0x1418c7d5e  mov ecx, [rdi+0x0C]
  0x1418c7d61  lea eax, [rdx+0x23]
  0x1418c7d64  mov [rdi+0x08], eax
  0x1418c7d67  cmp eax, ecx
  0x1418c7d69  jle 0x00000001418C7D73
  0x1418c7d6b  mov rcx, rdi
  0x1418c7d6e  call 0x0000000140918E20
  0x1418c7d73  movaps xmm0, [0x0000000145955180]
  0x1418c7d7a  mov rcx, [rdi]
  0x1418c7d7d  movups [rcx], xmm0
  0x1418c7d80  movaps xmm1, [0x0000000145955190]
  0x1418c7d87  movups [rcx+0x10], xmm1
  0x1418c7d8b  movaps xmm0, [0x00000001459551A0]
  0x1418c7d92  movups [rcx+0x20], xmm0
  0x1418c7d96  movaps xmm1, [0x00000001459551B0]
  0x1418c7d9d  movups [rcx+0x30], xmm1
  0x1418c7da1  mov eax, [0x00000001459551C0]
  0x1418c7da7  mov [rcx+0x40], eax
  0x1418c7daa  movzx eax, word ptr [0x00000001459551C4]
  0x1418c7db1  mov [rcx+0x44], ax
  0x1418c7db5  jmp 0x00000001418C7CF7
  0x1418c7dba  mov al, 0x01
  0x1418c7dbc  jmp 0x00000001418C7CF9
  0x1418c7dc1  int3
  0x1418c7dc2  int3
  0x1418c7dc3  int3
  0x1418c7dc4  int3
  0x1418c7dc5  int3
  0x1418c7dc6  int3
  0x1418c7dc7  int3
  0x1418c7dc8  int3
  0x1418c7dc9  int3
  0x1418c7dca  int3
  0x1418c7dcb  int3
  0x1418c7dcc  int3
  0x1418c7dcd  int3
  0x1418c7dce  int3
  0x1418c7dcf  int3
  0x1418c7dd0  push rbx
  0x1418c7dd2  sub rsp, 0x30
  0x1418c7dd6  xor eax, eax
  0x1418c7dd8  lea r8, [rsp+0x20]
  0x1418c7ddd  mov [rsp+0x20], rax
  0x1418c7de2  mov [rsp+0x28], rax
  0x1418c7de7  mov rax, [rcx]
  0x1418c7dea  call [rax+0x278]
  0x1418c7df0  mov rcx, [rsp+0x20]
  0x1418c7df5  movzx ebx, al
  0x1418c7df8  test rcx, rcx
  0x1418c7dfb  jz 0x00000001418C7E05
  0x1418c7dfd  call 0x0000000142A0D370
  0x1418c7e02  movzx eax, bl
  0x1418c7e05  add rsp, 0x30
  0x1418c7e09  pop rbx
  0x1418c7e0a  ret
  0x1418c7e0b  int3
  0x1418c7e0c  int3
  0x1418c7e0d  int3
  0x1418c7e0e  int3
  0x1418c7e0f  int3
  0x1418c7e10  mov [rsp+0x08], rbx
  0x1418c7e15  push rdi
  0x1418c7e16  sub rsp, 0x20
  0x1418c7e1a  cmp byte ptr [rcx+0x50], 0x00
  0x1418c7e1e  mov rbx, r8
  0x1418c7e21  mov rdi, rcx
  0x1418c7e24  jnz 0x00000001418C7EAB
  0x1418c7e2a  lea rax, [0x0000000145955060]
  0x1418c7e31  cmp [r8], rax
  0x1418c7e34  jz 0x00000001418C7FD9
  0x1418c7e3a  mov ecx, [r8+0x0C]
  0x1418c7e3e  xor edx, edx
  0x1418c7e40  mov [r8+0x08], edx
  0x1418c7e44  cmp ecx, 0x15
  0x1418c7e47  jz 0x00000001418C7E5C
  0x1418c7e49  mov edx, 0x15
  0x1418c7e4e  mov rcx, rbx
  0x1418c7e51  call 0x0000000140919310
  0x1418c7e56  mov edx, [rbx+0x08]
  0x1418c7e59  mov ecx, [rbx+0x0C]
  0x1418c7e5c  lea eax, [rdx+0x15]
  0x1418c7e5f  mov [rbx+0x08], eax
  0x1418c7e62  cmp eax, ecx
  0x1418c7e64  jle 0x00000001418C7E6E
  0x1418c7e66  mov rcx, rbx
  0x1418c7e69  call 0x0000000140918E20
  0x1418c7e6e  movups xmm0, [0x0000000145955060]
  0x1418c7e75  mov rcx, [rbx]
  0x1418c7e78  movups [rcx], xmm0
  0x1418c7e7b  movups xmm1, [0x0000000145955070]
  0x1418c7e82  movups [rcx+0x10], xmm1
  0x1418c7e86  movsd xmm0, qword ptr [0x0000000145955080]
  0x1418c7e8e  movsd [rcx+0x20], xmm0
  0x1418c7e93  movzx eax, word ptr [0x0000000145955088]
  0x1418c7e9a  mov [rcx+0x28], ax
  0x1418c7e9e  xor al, al
  0x1418c7ea0  mov rbx, [rsp+0x30]
  0x1418c7ea5  add rsp, 0x20
  0x1418c7ea9  pop rdi
  0x1418c7eaa  ret
  0x1418c7eab  cmp byte ptr [rcx+0x51], 0x00
  0x1418c7eaf  jnz 0x00000001418C7F55
  0x1418c7eb5  lea rax, [0x0000000145955090]
  0x1418c7ebc  cmp [r8], rax
  0x1418c7ebf  jz 0x00000001418C7FD9
  0x1418c7ec5  mov ecx, [r8+0x0C]
  0x1418c7ec9  xor edx, edx
  <decode failed at file offset 0x18c74cb>
  <decode failed at file offset 0x18c74cc>

=== XREF: [UTF-16] "Command is on cooldown. Try again later." at VA 0x1418c7cb3 (file offset 0x18c72b3) ===
  0x1418c7b23  or cl, [rbx-0x3474B729]
  0x1418c7b29  call 0x0000000140918DA0
  0x1418c7b2e  mov rax, [rsi]
  0x1418c7b31  mov rcx, rdi
  0x1418c7b34  shl rcx, 0x04
  0x1418c7b38  add rcx, [rbx]
  0x1418c7b3b  mov [rcx], rax
  0x1418c7b3e  mov rax, [rsi+0x08]
  0x1418c7b42  mov [rcx+0x08], rax
  0x1418c7b46  test rax, rax
  0x1418c7b49  jz 0x00000001418C7B4E
  0x1418c7b4b  inc [rax+0x08]
  0x1418c7b4e  mov rbx, [rsp+0x30]
  0x1418c7b53  mov al, 0x01
  0x1418c7b55  mov rsi, [rsp+0x38]
  0x1418c7b5a  add rsp, 0x20
  0x1418c7b5e  pop rdi
  0x1418c7b5f  ret
  0x1418c7b60  push rbx
  0x1418c7b62  push rbp
  0x1418c7b63  push rsi
  0x1418c7b64  push rdi
  0x1418c7b65  push r15
  0x1418c7b67  sub rsp, 0x40
  0x1418c7b6b  mov rax, [0x00000001473D54D8]
  0x1418c7b72  xor rax, rsp
  0x1418c7b75  mov [rsp+0x28], rax
  0x1418c7b7a  mov rdi, r8
  0x1418c7b7d  mov r15, rdx
  0x1418c7b80  mov rsi, rcx
  0x1418c7b83  test rdx, rdx
  0x1418c7b86  jz 0x00000001418C7CF7
  0x1418c7b8c  mov rax, [rdx]
  0x1418c7b8f  mov rcx, rdx
  0x1418c7b92  call [rax+0x160]
  0x1418c7b98  mov rbp, [rax+0x118]
  0x1418c7b9f  test rbp, rbp
  0x1418c7ba2  jz 0x00000001418C7CF7
  0x1418c7ba8  call 0x00000001426F00C0
  0x1418c7bad  mov rdx, [rbp+0x10]
  0x1418c7bb1  lea r8, [rax+0x30]
  0x1418c7bb5  movsxd rax, dword ptr [rax+0x38]
  0x1418c7bb9  cmp eax, [rdx+0x38]
  0x1418c7bbc  jnle 0x00000001418C7CF7
  0x1418c7bc2  mov rcx, rax
  0x1418c7bc5  mov rax, [rdx+0x30]
  0x1418c7bc9  cmp [rax+rcx*8], r8
  0x1418c7bcd  jnz 0x00000001418C7CF7
  0x1418c7bd3  mov rax, [rsi]
  0x1418c7bd6  mov r8, rdi
  0x1418c7bd9  mov rdx, r15
  0x1418c7bdc  mov rcx, rsi
  0x1418c7bdf  call [rax+0x278]
  0x1418c7be5  test al, al
  0x1418c7be7  jz 0x00000001418C7CF7
  0x1418c7bed  movss xmm0, dword ptr [rsi+0x58]
  0x1418c7bf2  lea rbx, [rsp+0x20]
  0x1418c7bf7  movss [rsp+0x20], xmm0
  0x1418c7bfd  mov byte ptr [rsp+0x24], 0x01
  0x1418c7c02  cmp byte ptr [rbx+0x04], 0x00
  0x1418c7c06  jz 0x00000001418C7D11
  0x1418c7c0c  mov [rsp+0x88], r14
  0x1418c7c14  mov r14, [rsi+0x10]
  0x1418c7c18  mov rax, [r14+0x118]
  0x1418c7c1f  test rax, rax
  0x1418c7c22  jnz 0x00000001418C7C37
  0x1418c7c24  mov rax, [r14]
  0x1418c7c27  mov rcx, r14
  0x1418c7c2a  call [rax+0x3A0]
  0x1418c7c30  mov rax, [r14+0x118]
  0x1418c7c37  cmp byte ptr [rax+0x80], 0x00
  0x1418c7c3e  mov r14, [rsp+0x88]
  0x1418c7c46  jz 0x00000001418C7D11
  0x1418c7c4c  movaps [rsp+0x30], xmm6
  0x1418c7c51  movsd xmm6, qword ptr [rax+0x78]
  0x1418c7c56  call 0x00000001418E8780
  0x1418c7c5b  movss xmm1, dword ptr [rbx]
  0x1418c7c5f  subsd xmm0, xmm6
  0x1418c7c63  movaps xmm6, [rsp+0x30]
  0x1418c7c68  cvtps2pd xmm1, xmm1
  0x1418c7c6b  comisd xmm0, xmm1
  0x1418c7c6f  jnb 0x00000001418C7D11
  0x1418c7c75  lea rax, [0x0000000145955120]
  0x1418c7c7c  cmp [rdi], rax
  0x1418c7c7f  jz 0x00000001418C7CF7
